index,ST57Q01_bk,count,lower_outliers,lower_quartile,lower_whisker,median,upper_outliers,upper_quartile,upper_whisker
"(-0.441, 0.936](-0.441, 0.936]","(2, 4]",35809.0,69.0,432.5518,234.6238,497.9047,64.0,564.8154,762.8992
"(-0.441, 0.936](-0.441, 0.936]","(4, 5]",16866.0,51.0,443.379,259.6277,503.86355,55.0,565.94485,748.7225
"(-0.441, 0.936](-0.441, 0.936]","(5, 7]",20324.0,45.0,453.5052,268.897,514.4181,68.0,576.6552,761.2634
"(-0.441, 0.936](-0.441, 0.936]","(7, 8]",7273.0,19.0,461.4504,278.5558,521.0391,21.0,584.4446,768.2739
"(-0.441, 0.936](-0.441, 0.936]","(8, 10]",14026.0,48.0,464.5661,283.0737,524.58325,55.0,585.80775,767.5728
"(-0.441, 0.936](-0.441, 0.936]","(10, 12]",5716.0,16.0,471.635025,291.4083,531.7105,20.0,593.0129,772.0907
"(-0.441, 0.936](-0.441, 0.936]","(12, 15]",8022.0,36.0,476.81495,297.484,536.1505,31.0,596.9076,774.5054
"(-0.441, 0.936](-0.441, 0.936]","(15, 30]",11371.0,37.0,480.768,286.8905,544.8746,26.0,610.7727,804.105
"(-0.441, 0.936](0.936, 2.313]","(0, 2]",49789.0,67.0,405.2111,191.7043,473.6797,30.0,547.8346,761.2634
"(-0.441, 0.936](0.936, 2.313]","(2, 4]",35880.0,69.0,432.5518,234.1564,497.9826,64.0,564.8933,762.8992
"(-0.441, 0.936](0.936, 2.313]","(4, 5]",16909.0,51.0,443.379,259.6277,503.9025,56.0,566.1396,748.7225
"(-0.441, 0.936](0.936, 2.313]","(5, 7]",20371.0,46.0,453.5052,269.0528,514.4181,69.0,576.5773,760.874
"(-0.441, 0.936](0.936, 2.313]","(7, 8]",7285.0,19.0,461.4504,278.5558,521.0391,21.0,584.3667,768.2739
"(-0.441, 0.936](0.936, 2.313]","(8, 10]",14074.0,48.0,464.5661,283.0737,524.7001,55.0,585.8467,767.5728
"(-0.441, 0.936](0.936, 2.313]","(10, 12]",5733.0,16.0,471.8881,291.4083,531.9442,20.0,593.0129,772.0907
"(-0.441, 0.936](0.936, 2.313]","(12, 15]",8046.0,36.0,476.8733,297.484,536.2284,31.0,596.9855,774.5054
"(-0.441, 0.936](0.936, 2.313]","(15, 30]",11406.0,37.0,480.8459,286.8905,544.91355,26.0,610.7727,804.105
"(-0.441, 0.936](2.313, 3.69]","(0, 2]",10879.0,4.0,445.8716,237.7395,518.936,25.0,586.7814,795.5367
"(-0.441, 0.936](2.313, 3.69]","(2, 4]",9515.0,15.0,466.6693,275.9854,532.3337,44.0,593.7919,783.8526
"(-0.441, 0.936](2.313, 3.69]","(4, 5]",4776.0,6.0,473.2123,294.6799,531.4769,30.0,592.409275,771.078
"(-0.441, 0.936](2.313, 3.69]","(5, 7]",5915.0,7.0,482.59855,308.7786,541.5252,42.0,599.4002,772.8696
"(-0.441, 0.936](2.313, 3.69]","(7, 8]",2186.0,6.0,490.212675,318.6711,549.08085,7.0,605.8654,774.5054
"(-0.441, 0.936](2.313, 3.69]","(8, 10]",4266.0,11.0,491.6732,319.528,550.1714,33.0,607.7348,781.4379
"(-0.441, 0.936](2.313, 3.69]","(10, 12]",1723.0,0.0,496.0352,321.1637,556.0134,3.0,613.22635,783.7747
"(-0.441, 0.936](2.313, 3.69]","(12, 15]",2398.0,11.0,504.817725,343.0519,559.55755,22.0,613.245825,773.7264
"(-0.441, 0.936](2.313, 3.69]","(15, 30]",3443.0,11.0,502.30565,325.0584,561.8554,19.0,621.8336,799.1198
"(0.936, 2.313](0.936, 2.313]","(0, 2]",10985.0,4.0,445.7158,234.3122,518.936,26.0,586.7814,795.5367
"(0.936, 2.313](0.936, 2.313]","(2, 4]",9586.0,15.0,466.6693,275.9854,532.21685,45.0,593.7919,783.8526
"(0.936, 2.313](0.936, 2.313]","(4, 5]",4819.0,7.0,473.25125,294.6799,531.4769,31.0,592.35085,770.8444
"(0.936, 2.313](0.936, 2.313]","(5, 7]",5962.0,7.0,482.501175,308.7786,541.25255,42.0,599.3223,772.8696
"(0.936, 2.313](0.936, 2.313]","(7, 8]",2198.0,6.0,490.134775,318.6711,548.6135,7.0,605.6317,774.5054
"(0.936, 2.313](0.936, 2.313]","(8, 10]",4314.0,11.0,491.6732,319.528,550.0935,34.0,607.71535,781.4379
"(0.936, 2.313](0.936, 2.313]","(10, 12]",1740.0,0.0,496.210475,321.1637,556.1692,3.0,613.206875,783.7747
"(0.936, 2.313](0.936, 2.313]","(12, 15]",2422.0,11.0,504.622975,343.0519,559.8302,22.0,613.2653,773.7264
"(0.936, 2.313](0.936, 2.313]","(15, 30]",3478.0,11.0,502.286175,325.0584,561.89435,19.0,621.8336,799.1198
"(0.936, 2.313](2.313, 3.69]","(0, 2]",106.0,0.0,424.3535,237.5058,514.9634,2.0,587.521375,754.1751
"(0.936, 2.313](2.313, 3.69]","(2, 4]",71.0,0.0,466.82505,286.0337,519.7928,1.0,587.5214,744.9836
"(0.936, 2.313](2.313, 3.69]","(4, 5]",43.0,0.0,479.2491,325.7595,536.8515,1.0,584.5225,701.2852
"(0.936, 2.313](2.313, 3.69]","(5, 7]",47.0,0.0,479.6386,377.9483,522.9086,0.0,572.83845,678.6182
"(0.936, 2.313](2.313, 3.69]","(7, 8]",12.0,0.0,432.9997,373.3525,499.54045,0.0,524.2912,609.059
"(0.936, 2.313](2.313, 3.69]","(8, 10]",48.0,0.0,488.3432,329.6542,546.97775,2.0,597.043925,758.2256
"(0.936, 2.313](2.313, 3.69]","(10, 12]",17.0,0.0,517.3002,471.8881,557.805,0.0,607.8906,719.9797
"(0.936, 2.313](2.313, 3.69]","(12, 15]",24.0,0.0,488.090025,399.8364,577.31735,0.0,632.6414,756.6677
"(0.936, 2.313](2.313, 3.69]","(15, 30]",35.0,0.0,501.9551,381.064,565.828,0.0,609.2148,736.3374
